,time,delay,route_replannings
0,1.2000000000000002,331.6695677389979,4
1,39.60000000000005,314.62019846522736,2
2,49.200000000000074,280.5131255553261,2
3,69.00000000000006,236.63143658683737,3
4,69.60000000000005,407.03027346914416,3
5,88.19999999999987,233.97064969973218,4
6,88.79999999999987,599.3477744921023,12
7,91.79999999999984,480.94057139459983,6
8,92.39999999999984,412.3903238928324,8
9,93.59999999999982,19.04800817152993,0
10,134.39999999999944,323.6602875784813,3
11,134.39999999999944,253.94403126049093,6
12,143.99999999999935,441.8604746624144,6
13,145.79999999999933,253.81172572198057,1
14,146.39999999999932,444.79942936927887,2
15,157.19999999999922,143.18948121897535,2
16,158.3999999999992,310.9795459557067,4
17,170.3999999999991,281.5071890177727,4
18,182.99999999999898,27.087858072789928,0
19,194.99999999999886,204.31020700890917,6
20,198.59999999999883,340.65829159192964,4
21,203.99999999999878,116.4740620179715,1
22,205.19999999999877,281.6116166554881,1
23,211.7999999999987,596.4671241038064,2
24,217.79999999999865,284.02659404938424,4
25,220.79999999999862,219.3897853554313,5
26,233.3999999999985,1438.2968528491558,14
27,247.79999999999836,331.17472736021506,3
28,251.99999999999832,157.72102723624647,1
29,266.9999999999987,497.4495905507434,5
30,278.3999999999991,307.87598000207777,5
31,286.1999999999994,106.41322632053783,2
32,293.3999999999997,1578.43650173596,14
33,293.9999999999997,1955.5400732683152,17
34,298.1999999999999,454.7781722301618,8
35,303.6000000000001,249.58960563493872,1
36,315.60000000000053,644.2829922620065,5
37,321.60000000000076,1489.8143892544524,12
38,321.60000000000076,275.18517411272586,1
39,326.40000000000094,430.94884560703406,4
40,327.00000000000097,178.7208826392725,3
41,328.80000000000103,193.47128292235737,3
42,328.80000000000103,113.07859546404018,2
43,336.60000000000133,296.02908030382065,3
44,339.0000000000014,279.89747782677523,6
45,346.2000000000017,264.70615891102454,1
46,346.2000000000017,176.84365469158615,0
47,354.600000000002,444.52360290123846,3
48,357.6000000000021,369.11254235768513,3
49,382.8000000000031,729.3485571677285,14
50,388.2000000000033,282.8829405699011,3
51,399.0000000000037,154.69547142680938,2
52,401.4000000000038,561.8199583914674,4
53,408.00000000000404,302.4752520011971,3
54,415.2000000000043,243.08684334614048,2
55,417.6000000000044,316.6999667063397,4
56,421.80000000000456,304.56407295858554,6
57,427.8000000000048,93.77043177862208,1
58,432.60000000000497,435.4865921027629,6
59,459.600000000006,100.64112029239533,1
60,460.80000000000604,73.10727872784068,1
61,465.0000000000062,138.84329390537496,2
62,466.80000000000626,141.1175173797725,1
63,477.00000000000665,151.41418022490188,2
64,485.40000000000697,368.93165797446517,1
65,502.8000000000076,299.93737994348544,6
66,507.6000000000078,455.9982855865302,8
67,509.4000000000079,75.04481952855514,1
68,510.0000000000079,306.06787599869585,3
69,511.20000000000795,394.1590158798196,4
70,512.4000000000079,169.29569498244646,4
71,526.8000000000085,265.5778733067983,4
72,533.4000000000087,337.6665055921032,5
73,536.4000000000088,167.12411654166038,0
74,540.000000000009,153.2985635209319,1
75,542.4000000000091,650.1805218709801,6
76,555.0000000000095,207.50795829433537,3
77,555.0000000000095,238.58599984363718,2
78,560.4000000000098,457.76215393016633,5
79,565.2000000000099,361.4760273545345,6
80,584.4000000000107,47.355121444817435,1
81,648.6000000000131,715.0034088760959,6
82,657.0000000000134,545.1919253674336,8
83,658.8000000000135,221.88790244009465,2
84,664.8000000000137,367.0559788273435,5
85,673.200000000014,190.81100278940477,2
86,674.4000000000141,491.5923926674634,3
87,688.8000000000146,545.319953551905,6
