,time,delay,route_replannings
0,1.2000000000000002,256.16684931877796,2
1,3.6000000000000005,465.0639039622025,3
2,4.200000000000001,79.40396354007183,0
3,4.200000000000001,33.78062076073712,0
4,12.599999999999996,382.1618141297609,3
5,27.600000000000023,393.9770412012745,3
6,32.400000000000034,118.34927228438255,0
7,39.60000000000005,379.83421537343975,3
8,39.60000000000005,282.89140708129185,3
9,48.00000000000007,96.45232737171642,0
10,57.600000000000094,293.976538770004,3
11,59.4000000000001,224.98169394241654,2
12,60.6000000000001,167.93263729584908,2
13,64.2000000000001,426.8121774899462,5
14,68.40000000000006,280.1223313667371,3
15,69.60000000000005,204.46200723895805,1
16,79.79999999999995,276.78792829409707,1
17,82.79999999999993,138.6940788171515,0
18,83.99999999999991,204.2743239025491,2
19,84.59999999999991,31.880434794395157,0
20,89.39999999999986,181.68575274704722,3
21,91.79999999999984,49.03424047814811,0
22,93.59999999999982,260.42876981200925,0
23,110.39999999999966,125.92072070870046,1
24,118.79999999999959,123.59127918315414,1
25,122.39999999999955,485.27565856532624,5
26,122.99999999999955,286.45323901555264,0
27,124.79999999999953,214.1131167144844,4
28,128.3999999999995,231.45740371740348,2
29,131.99999999999946,481.6859457399836,4
30,134.39999999999944,412.6459610028494,1
31,134.99999999999943,287.14503259419735,3
32,134.99999999999943,241.8726289315418,1
33,140.39999999999938,270.742198014735,1
34,142.79999999999936,247.35412885076823,3
35,143.99999999999935,291.12364794825396,2
36,155.99999999999923,212.29691993164067,0
37,158.3999999999992,163.69410312812414,1
38,178.19999999999902,168.91437458374935,2
39,179.399999999999,229.0598257165085,0
40,187.19999999999894,92.2428145128076,0
41,206.99999999999875,424.4004213990627,6
42,206.99999999999875,281.81267507436786,4
43,206.99999999999875,153.3995387587094,4
44,212.9999999999987,290.20234358753396,1
45,214.19999999999868,535.5405660572688,4
46,214.79999999999868,380.28577128560727,3
47,215.99999999999866,384.5114164250082,5
48,218.99999999999864,450.22619858323895,4
49,219.59999999999863,396.8051983256642,1
50,224.99999999999858,453.1589551961273,4
51,230.99999999999852,45.03721937023576,0
52,236.99999999999847,142.1107473442959,0
53,239.99999999999844,182.34304175157752,3
54,241.19999999999843,351.4323323727392,3
55,243.5999999999984,181.3393309333726,0
56,245.99999999999838,129.89897569568384,2
57,264.5999999999986,190.26796916053803,1
58,264.5999999999986,120.81360433767969,3
59,296.3999999999998,221.15847479242166,2
60,297.59999999999985,78.30623164516342,1
61,304.2000000000001,166.97779866711542,1
62,327.00000000000097,505.57665254376684,2
63,327.00000000000097,256.67916429852784,3
64,341.4000000000015,14.170838495287505,0
65,348.6000000000018,128.31263638341545,1
66,357.6000000000021,425.28762342504353,5
67,362.4000000000023,263.8023353460924,3
68,366.60000000000247,226.49685030673112,1
69,377.4000000000029,202.93948990087745,1
70,377.4000000000029,253.92739220939615,4
71,383.4000000000031,13.745661466398204,0
72,384.0000000000031,108.00394357182807,0
73,385.2000000000032,17.81364858510385,1
74,390.00000000000335,202.08697136809022,1
75,396.0000000000036,240.57090368441982,3
76,412.8000000000042,314.50746131522203,3
77,413.40000000000424,50.11068894475309,0
78,423.0000000000046,200.44922447141823,1
79,441.0000000000053,160.55418784140187,2
80,453.00000000000574,29.381785543318287,0
81,463.2000000000061,209.30373191911764,3
82,482.40000000000686,250.55125816335908,2
83,484.2000000000069,367.11324478824184,2
84,500.40000000000754,224.404499915258,2
85,505.80000000000774,124.97317515084401,0
86,508.20000000000783,238.68189531002525,1
87,511.20000000000795,37.39021479033984,0
88,511.80000000000797,279.19425178618417,2
89,517.8000000000081,103.62261388323546,2
90,522.0000000000083,307.7510284496038,2
91,532.2000000000087,236.66045982517824,1
92,537.0000000000089,246.87226210540433,1
93,553.8000000000095,352.7177021331481,3
94,556.8000000000096,109.42375211061085,2
95,565.80000000001,402.99891008701456,7
96,583.8000000000106,233.68638978856552,3
97,592.200000000011,281.35763105593117,4
98,597.0000000000111,122.40967627243663,0
99,600.0000000000113,273.44273470966766,1
100,600.6000000000113,34.63473874968959,0
101,606.0000000000115,408.7504742351566,5
102,606.6000000000115,260.73306810549957,1
103,615.6000000000118,315.8256161442816,1
104,616.8000000000119,354.050037845646,4
105,623.4000000000121,260.54708920865113,1
106,624.0000000000122,120.09566274495026,0
107,625.8000000000122,206.15909554608174,4
108,629.4000000000124,334.2553799489226,4
109,645.000000000013,311.04607205395797,2
110,684.6000000000145,671.9361996703233,8
111,696.6000000000149,307.10112775280254,1
112,699.000000000015,153.79319816621083,0
113,699.000000000015,134.82927298357413,1
114,703.8000000000152,347.4697155641637,3
115,712.2000000000155,332.95191718449996,5
116,713.4000000000156,91.28178150506926,0
117,722.4000000000159,398.3183945905424,4
118,726.000000000016,173.07069887937433,1
